Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
2,Raiders,Bills,10,9,185,3,55,0,3,3,7,0,0,-7.5,19,45.5
3,Commanders,Bills,3,11,170,5,105,9,3,1,9,0,1,-5.5,19,43.5
4,Dolphins,Bills,20,11,282,2,142,4,3,3,10,0,3,-3.5,24,51.5
5,Jaguars,Bills,25,12,278,2,196,0,6,5,12,0,0,-5.5,21.5,48.5
6,Ginats,Bills,9,10,200,0,132,3,4,10,19,1,2,-15.5,13.5,42.5
7,Patriots,Bills,29,9,272,1,96,1,2,4,9,0,0,-7.5,16,39.5
8,Buccs,Bills,18,11,237,0,78,3,6,4,15,1,1,-9.5,16.5,42.5
9,Bengals,Bills,24,9,348,0,54,1,3,8,15,1,2,1.5,26.5,51.5
10,Broncos,Bills,24,12,193,1,122,4,5,8,19,1,1,-7.5,20,47.5
11,Jets,Bills,6,11,132,4,63,6,6,0,11,4,5,-8.5,15.5,39.5
14,Chiefs,Bills,17,10,271,2,82,1,4,6,12,0,1,-1.5,24,49.5
15,Cowboys,Bills,10,8,134,1,89,3,5,5,13,1,2,-2.5,23.5,49.5
16,Chargers,Bills,22,12,215,0,98,5,4,4,14,0,0,-12.5,16.5,45.5
17,Patriots,Bills,21,13,209,4,103,3,4,4,10,0,0,-15.5,12.5,40.5
18,Dolphins,Bills,14,9,173,2,108,1,5,4,10,0,0,-2.5,23,48.5
Wildcard,Steelers,Bills,17,11,229,2,106,1,4,5,11,0,1,-12.5,13.5,39.5
Divisional,Chiefs,Bills,27,9,215,1,146,0,1,1,5,0,0,-2.5,21.5,45.5
