Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Ginats,Cowboys,0,12,110,3,108,7,3,5,16,3,5,-3.5,20.5,44.5
2,Jets,Cowboys,10,11,170,4,64,3,5,1,10,1,1,-8.5,14.5,37.5
3,Cardinals,Cowboys,28,9,189,0,222,2,2,5,10,0,0,-11.5,16.5,44.5
4,Patriots,Cowboys,3,11,207,3,53,2,5,4,13,0,2,-5.5,19,43.5
5,49ers,Cowboys,42,13,253,1,170,1,4,6,11,0,1,3.5,24,44.5
6,Chargers,Cowboys,17,10,227,1,53,1,5,5,14,1,2,-1.5,24,49.5
8,Rams,Cowboys,20,11,204,1,92,2,5,4,13,1,2,-7.5,18.5,44.5
9,Eagles,Cowboys,28,9,207,0,109,3,5,7,14,2,2,3.5,25,46.5
10,Ginats,Cowboys,17,13,86,1,111,5,7,0,12,2,3,-17.5,11,39.5
11,Panthers,Cowboys,10,10,123,2,110,7,5,5,15,3,3,-10.5,16.5,43.5
12,Commanders,Cowboys,10,11,300,1,108,4,3,7,15,0,3,-13.5,17.5,48.5
13,Seahawks,Cowboys,35,10,334,1,72,1,0,9,14,0,3,-9.5,19,47.5
14,Eagles,Cowboys,13,9,225,3,106,1,1,4,9,1,2,-3.5,24.5,52.5
15,Bills,Cowboys,31,9,94,0,266,1,2,5,9,0,0,2.5,26,49.5
16,Dolphins,Cowboys,22,10,222,0,77,1,2,6,13,0,1,1.5,25.5,49.5
17,Lions,Cowboys,19,11,302,2,125,1,4,4,13,2,3,-4.5,24,52.5
18,Commanders,Cowboys,10,10,157,3,50,4,2,2,10,3,4,-13.5,16.5,46.5
Wildcard,Packers,Cowboys,48,10,272,0,143,0,3,6,10,1,1,-7.5,22.5,52.5
