Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Chiefs,Lions,20,11,226,1,90,0,5,5,14,0,1,3.5,27.5,51.5
3,Falcons,Lions,6,12,201,1,44,7,6,4,14,0,1,-2.5,22.5,47.5
4,Packers,Lions,20,12,246,2,27,5,5,3,11,1,1,-2.5,21,44.5
5,Panthers,Lions,24,10,247,3,99,1,3,5,10,1,1,-8.5,17,42.5
6,Buccs,Lions,6,10,206,1,46,1,6,2,12,1,2,-3.5,19.5,42.5
7,Ravens,Lions,38,10,357,1,146,0,2,4,8,1,1,3.5,23.5,43.5
8,Raiders,Lions,14,11,126,1,80,6,5,1,9,0,3,-6.5,19,44.5
10,Chargers,Lions,38,9,323,1,98,0,2,7,14,3,3,-2.5,23.5,49.5
11,Bears,Lions,26,11,169,1,183,2,2,5,13,2,2,-7.5,20,47.5
12,Packers,Lions,29,11,268,0,109,0,4,5,11,0,1,-8.5,19.5,47.5
13,Saints,Lions,28,12,267,2,113,2,4,6,12,0,1,-3.5,22.5,48.5
14,Bears,Lions,28,12,223,0,142,3,3,6,14,1,2,-3.5,20.5,44.5
15,Broncos,Lions,17,11,223,1,83,2,5,5,13,2,2,-5.5,22,49.5
16,Vikings,Lions,24,10,411,4,17,4,2,3,9,0,1,-2.5,22.5,47.5
17,Cowboys,Lions,20,12,345,2,61,3,4,7,14,0,0,4.5,28.5,52.5
18,Vikings,Lions,20,11,396,2,89,4,4,2,13,2,3,-3.5,22,47.5
Wildcard,Rams,Lions,23,8,367,0,68,2,2,3,9,1,1,-3.5,25,53.5
Divisional,Buccs,Lions,23,11,349,2,89,4,4,4,12,1,1,-6.5,21.5,49.5
Conference,49ers,Lions,34,11,267,1,155,2,1,6,12,0,1,7.5,30.5,53.5
