Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Browns,Bengals,24,14,154,2,206,3,7,4,14,0,0,2.5,24.5,46.5
2,Ravens,Bengals,27,9,237,0,178,0,2,9,14,0,0,-3.5,20.5,44.5
3,Rams,Bengals,16,12,269,2,71,6,6,1,11,1,1,-2.5,21.5,45.5
4,Titans,Bengals,27,9,242,1,173,3,2,8,13,1,1,-3.5,19,41.5
5,Cardinals,Bengals,20,13,166,3,142,3,4,4,11,0,3,-3.5,21,45.5
6,Seahawks,Bengals,13,11,326,2,87,4,3,5,12,0,2,-1.5,22,45.5
8,49ers,Bengals,17,11,365,3,113,2,3,5,9,0,0,4.5,24,43.5
9,Bills,Bengals,18,9,258,2,68,1,3,7,12,0,0,1.5,26.5,51.5
10,Texans,Bengals,30,13,356,3,188,1,4,4,13,0,1,-5.5,20,45.5
11,Ravens,Bengals,34,11,264,0,157,3,4,6,12,0,0,-4.5,20.5,45.5
12,Steelers,Bengals,16,10,278,1,153,2,4,8,17,0,0,2.5,19.5,36.5
14,Colts,Bengals,14,10,240,2,46,3,4,3,11,1,2,-2.5,21.5,45.5
16,Steelers,Bengals,31,11,290,0,113,1,5,7,14,0,0,-2.5,18.5,39.5
17,Chiefs,Bengals,25,10,245,1,132,2,1,3,12,1,1,7.5,26.5,45.5
18,Browns,Bengals,14,13,166,2,104,3,7,2,11,1,1,-7.5,15,37.5
