Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Jaguars,Colts,31,15,245,2,105,4,5,2,12,1,5,3.5,24,44.5
2,Texans,Colts,20,11,384,1,52,6,3,9,19,2,2,2.5,21,39.5
5,Titans,Colts,16,8,264,1,89,1,1,5,12,1,2,2.5,23,43.5
6,Jaguars,Colts,37,14,167,1,85,3,3,6,17,3,6,3.5,23.5,43.5
7,Browns,Colts,39,16,183,2,150,2,5,4,16,1,2,3.5,22,40.5
8,Saints,Colts,38,12,354,1,161,1,4,6,12,0,0,2.5,23,43.5
9,Panthers,Colts,13,12,173,3,138,4,4,7,16,2,3,-1.5,22,45.5
10,Patriots,Colts,6,10,195,2,167,5,4,6,14,1,1,-2,20.25,42.5
12,Buccs,Colts,20,10,199,2,125,6,4,5,13,1,1,-2.5,21,44.5
14,Bengals,Colts,34,11,274,1,111,0,4,3,11,1,1,2.5,24,45.5
15,Steelers,Colts,13,12,172,3,74,4,4,4,12,2,3,-1.5,20,41.5
16,Falcons,Colts,29,10,229,0,177,1,3,5,13,1,1,2.5,23.5,44.5
17,Raiders,Colts,20,9,299,0,84,2,5,5,15,2,2,-3.5,19.5,42.5
18,Texans,Colts,23,11,264,0,60,2,6,5,13,0,1,1.5,24.5,47.5
