Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Colts,Jaguars,21,14,223,3,65,4,5,2,12,1,5,-3.5,20.5,44.5
2,Chiefs,Jaguars,17,10,305,3,101,1,4,4,13,2,2,2.5,26,49.5
3,Texans,Jaguars,37,11,280,0,86,0,4,9,15,0,0,-7.5,17.5,42.5
4,Falcons,Jaguars,7,10,191,3,127,4,5,6,12,0,1,-3.5,19.5,42.5
5,Bills,Jaguars,20,12,359,2,29,0,6,5,12,0,0,5.5,27,48.5
6,Colts,Jaguars,20,13,329,4,44,3,3,6,17,3,6,-3.5,20,43.5
7,Saints,Jaguars,24,14,301,1,112,1,4,3,18,4,6,1.5,21,40.5
8,Steelers,Jaguars,10,12,211,2,70,3,6,3,12,0,2,-2.5,20,42.5
10,49ers,Jaguars,34,11,302,0,144,2,3,4,12,1,2,3.5,24,44.5
11,Titans,Jaguars,14,9,158,2,92,2,4,2,7,1,1,-6.5,17,40.5
12,Texans,Jaguars,21,10,304,0,91,4,4,6,13,0,1,-1.5,23,47.5
14,Browns,Jaguars,31,17,311,3,82,1,8,4,18,3,3,2.5,19.5,36.5
15,Ravens,Jaguars,23,10,171,1,251,3,3,5,12,1,1,4,22.75,41.5
16,Buccs,Jaguars,30,11,283,0,70,2,2,10,19,1,2,-1.5,21,43.5
17,Panthers,Jaguars,0,10,112,1,57,6,6,1,13,3,6,-3.5,17,37.5
18,Titans,Jaguars,28,10,168,1,175,2,3,6,11,0,1,-3.5,19,41.5
