Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Bears,Packers,20,12,216,2,122,4,4,3,13,1,2,2.5,21.5,40.5
2,Falcons,Packers,25,10,237,1,211,1,1,6,15,3,4,2.5,21,39.5
3,Saints,Packers,17,10,204,0,77,4,7,4,14,1,1,1.5,22,42.5
4,Lions,Packers,34,12,210,1,211,2,4,7,17,2,2,2.5,23.5,44.5
5,Raiders,Packers,17,11,208,1,96,4,4,5,13,1,1,1.5,23,44.5
7,Broncos,Packers,19,9,194,0,145,1,3,5,12,0,1,2.5,23,43.5
8,Vikings,Packers,24,10,297,1,62,3,2,10,18,1,1,-0.5,20,40.5
9,Rams,Packers,3,11,130,2,68,1,5,5,14,0,2,-3.5,17.5,38.5
10,Steelers,Packers,23,10,126,0,205,1,5,4,13,1,1,3.5,20.5,37.5
11,Chargers,Packers,20,11,260,1,150,2,3,7,14,0,2,2.5,23.5,44.5
12,Lions,Packers,22,11,332,3,140,3,2,7,15,1,5,8.5,28,47.5
13,Chiefs,Packers,19,8,210,1,148,3,1,7,11,0,1,5.5,24.5,43.5
14,Giants,Packers,24,12,158,2,209,0,4,3,10,0,1,-5.5,16,37.5
15,Buccs,Packers,34,9,381,1,99,5,1,7,11,1,1,-3.5,19,41.5
16,Panthers,Packers,30,10,312,0,96,2,3,6,13,1,2,-3.5,18,39.5
17,Vikings,Packers,10,11,180,2,67,4,4,3,10,0,2,-0.5,21,42.5
18,Bears,Packers,9,6,148,0,75,5,3,3,11,1,1,-2.5,21.5,45.5
Wildcard,Cowboys,Packers,32,11,403,2,123,4,2,10,16,0,2,7.5,30,52.5
Divisional,49ers,Packers,24,10,252,0,111,1,4,10,16,0,0,10.5,30.5,50.5
