Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Broncos,Raiders,16,6,177,0,94,2,2,5,11,0,0,2.5,22.5,42.5
2,Bills,Raiders,38,9,274,0,183,2,1,7,13,3,4,7.5,26.5,45.5
3,Steelers,Raiders,23,13,235,0,105,1,6,6,15,0,0,-2.5,20,42.5
4,Chargers,Raiders,24,12,167,1,155,2,4,5,14,1,2,7.5,27.5,47.5
5,Packers,Raiders,13,11,182,3,110,2,4,4,12,1,1,-1.5,21.5,44.5
6,Patriots,Raiders,17,9,200,1,83,4,3,6,12,0,0,-3.5,18.5,40.5
7,Bears,Raiders,30,9,162,0,173,2,3,8,13,0,1,-1.5,18,37.5
8,Lions,Raiders,26,12,272,3,222,1,1,6,14,1,1,6.5,25.5,44.5
9,Ginats,Raiders,6,13,200,2,123,8,4,3,12,1,5,-1.5,18,37.5
10,Jets,Raiders,12,11,263,1,108,2,5,7,16,0,0,1.5,18.5,35.5
11,Dolphins,Raiders,20,11,176,1,93,1,3,3,11,0,1,14.5,29.5,44.5
12,Chiefs,Raiders,31,10,298,0,69,1,4,5,11,0,0,9.5,26,42.5
14,Vikings,Raiders,3,11,146,0,132,5,9,8,20,1,1,-3.5,18.5,40.5
15,Chargers,Raiders,21,15,257,5,92,3,5,6,12,0,1,-3.5,16.5,36.5
16,Chiefs,Raiders,14,11,246,2,85,4,4,5,16,3,5,11.5,26,40.5
17,Colts,Raiders,23,10,224,0,134,1,3,6,13,1,1,3.5,23,42.5
18,Broncos,Raiders,14,10,272,1,48,5,5,4,12,2,3,-3.5,17,37.5
