Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Seahawks,Rams,13,9,112,0,85,2,4,2,9,0,0,5.5,25,44.5
2,49ers,Rams,30,10,206,0,159,1,4,2,9,0,0,7.5,26,44.5
3,Bengals,Rams,19,13,259,1,67,2,5,5,17,1,1,2.5,24,45.5
5,Eagles,Rams,23,8,303,1,159,1,1,13,18,0,1,3.5,26.5,49.5
6,Cardinals,Rams,9,12,235,2,130,2,3,6,16,2,4,-7.5,20,47.5
7,Steelers,Rams,24,11,230,0,86,2,5,4,12,1,1,-3.5,20,43.5
8,Cowboys,Rams,43,11,307,1,102,3,2,6,12,1,1,7.5,26,44.5
9,Packers,Rams,20,12,228,2,184,4,4,7,14,1,1,3.5,21,38.5
11,Seahawks,Rams,16,11,236,1,68,2,4,5,15,2,2,-2.5,21,44.5
12,Cardinals,Rams,14,11,256,0,73,4,5,6,17,2,3,-3.5,21,45.5
13,Browns,Rams,19,12,254,1,87,2,5,7,16,0,2,-3.5,18,39.5
15,Commanders,Rams,20,12,226,1,79,1,5,3,14,3,5,-6.5,21,48.5
16,Saints,Rams,22,10,319,1,35,2,2,5,11,0,3,-4.5,21,46.5
17,Giants,Rams,25,13,319,1,105,6,5,5,16,1,3,-6.5,18,42.5
18,49ers,Rams,20,8,189,1,125,3,3,5,10,1,1,5.5,23,40.5
Wildcard,Lions,Rams,24,8,277,0,79,3,3,3,9,1,1,3.5,28.5,53.5
