Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Titans,Saints,15,12,198,3,104,3,3,2,12,0,0,-2.5,19,40.5
2,Panthers,Saints,17,11,153,1,100,4,5,4,14,1,1,-3.5,18,39.5
3,Packers,Saints,18,12,259,1,95,1,4,8,18,1,3,-1.5,20.5,42.5
4,Buccs,Saints,26,11,246,1,114,1,4,8,15,0,0,-4.5,18,40.5
5,Patriots,Saints,0,14,132,3,45,2,8,1,14,0,2,1.5,19.5,37.5
6,Texans,Saints,20,12,199,1,120,2,5,4,11,0,0,-2.5,19.5,41.5
7,Jaguars,Saints,31,12,223,2,113,1,4,3,18,4,6,-1.5,19.5,40.5
8,Colts,Saints,27,12,213,1,164,2,5,7,16,1,1,-2.5,20.5,43.5
9,Bears,Saints,17,11,220,5,156,2,2,6,12,1,1,-10.5,16,42.5
10,Vikings,Saints,27,12,268,0,125,1,6,6,15,0,0,-2.5,19.5,41.5
12,Falcons,Saints,24,9,168,2,228,0,2,4,8,0,1,-1.5,20.5,42.5
13,Lions,Saints,33,12,213,0,142,1,5,6,13,0,0,3.5,26,48.5
14,Panthers,Saints,6,12,137,2,204,4,2,8,20,1,7,-5.5,17,39.5
15,Giants,Saints,6,9,190,0,60,7,5,2,16,3,5,-6.5,16.5,39.5
16,Rams,Saints,30,10,328,0,133,1,2,4,12,1,1,4.5,25.5,46.5
17,Buccs,Saints,13,12,309,4,57,2,5,2,8,1,1,2.5,22.5,42.5
18,Falcons,Saints,17,13,318,3,78,1,5,4,11,0,1,-3.5,19,41.5
