Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,49ers,Steelers,30,12,220,1,188,3,3,6,13,1,1,1.5,21,40.5
2,Browns,Steelers,22,15,235,4,198,6,5,5,16,0,2,2.5,21,39.5
3,Raiders,Steelers,18,12,324,3,69,4,5,4,13,1,2,2.5,22.5,42.5
4,Texans,Steelers,30,10,312,0,139,0,3,6,12,0,1,-2.5,19,40.5
5,Ravens,Steelers,10,12,236,3,125,4,5,5,14,0,2,4.5,21,37.5
7,Rams,Steelers,17,10,231,1,135,2,4,9,16,0,0,3.5,23.5,43.5
8,Jaguars,Steelers,20,11,291,3,106,3,6,3,12,0,2,2.5,22.5,42.5
9,Titans,Steelers,16,9,262,1,105,4,3,3,13,1,2,-3.5,16.5,36.5
10,Packers,Steelers,19,11,289,2,116,1,4,8,16,2,2,-3.5,17,37.5
11,Browns,Steelers,13,12,165,1,96,1,8,4,17,1,1,2.5,18.5,34.5
12,Bengals,Steelers,10,10,227,1,25,4,6,2,10,0,0,-2.5,17,36.5
13,Cardinals,Steelers,24,10,145,0,150,2,5,10,17,0,0,-6.5,17,40.5
14,Patriots,Steelers,21,13,240,1,81,2,9,4,13,0,0,-5.5,12.5,30.5
15,Colts,Steelers,30,11,215,0,170,3,2,6,15,1,2,1.5,21.5,41.5
16,Bengals,Steelers,11,11,335,3,59,3,3,6,13,0,2,2.5,21,39.5
17,Seahawks,Steelers,23,9,290,1,88,1,3,3,9,0,0,4.5,22.5,40.5
18,Ravens,Steelers,10,12,146,2,106,4,7,4,13,1,1,-3.5,15.5,34.5
Wildcard,Bills,Steelers,31,11,203,0,179,2,3,5,12,1,1,12.5,26,39.5
