Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Packers,Bears,38,11,245,0,92,1,5,9,16,1,2,-2.5,19,40.5
2,Buccs,Bears,27,10,317,0,120,0,4,8,15,1,1,2.5,21,39.5
3,Chiefs,Bears,41,11,303,2,153,0,1,10,14,0,0,12.5,30.5,48.5
4,Broncos,Bears,31,9,223,0,97,1,4,6,11,0,0,2.5,24.5,46.5
5,Commanders,Bears,20,12,388,2,29,5,2,6,12,0,1,4.5,24.5,44.5
6,Vikings,Bears,19,11,181,1,46,2,5,2,13,1,2,3.5,23.5,43.5
7,Raiders,Bears,12,9,204,3,39,1,2,2,9,2,2,1.5,19.5,37.5
8,Chargers,Bears,30,10,298,1,54,0,2,7,13,0,1,9.5,27,44.5
9,Saints,Bears,24,12,214,0,87,0,4,7,14,0,1,10.5,26.5,42.5
10,Panthers,Bears,13,9,185,0,43,3,6,3,15,3,3,-3.5,18,39.5
11,Lions,Bears,31,11,236,4,115,2,2,8,11,0,0,7.5,27.5,47.5
12,Vikings,Bears,10,11,185,4,73,2,3,2,9,0,2,3.5,23.5,43.5
14,Lions,Bears,13,11,161,3,140,4,4,6,15,1,5,3.5,24,44.5
15,Browns,Bears,20,16,379,3,29,4,9,4,16,1,1,2.5,20,37.5
16,Cardinals,Bears,16,12,230,0,93,2,6,7,16,0,1,-5.5,18.5,42.5
17,Falcons,Bears,17,13,180,4,134,2,3,4,13,0,1,-2.5,18.5,39.5
18,Packers,Bears,17,7,316,1,124,1,0,7,10,0,0,2.5,24,45.5
