Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Commanders,Cardinals,20,13,202,3,92,6,6,4,12,0,0,6.5,22,37.5
2,Ginats,Cardinals,31,10,321,1,127,3,3,7,12,1,1,4.5,22,39.5
3,Cowboys,Cardinals,16,8,249,1,185,2,2,9,16,0,1,11.5,28,44.5
4,49ers,Cardinals,35,8,283,0,124,1,1,3,5,1,1,13.5,28.5,43.5
5,Bengals,Cardinals,34,12,317,1,93,3,3,5,14,0,3,3.5,24.5,45.5
6,Rams,Cardinals,26,10,226,1,179,3,4,4,12,0,0,7.5,27.5,47.5
7,Seahawks,Cardinals,20,10,219,3,115,2,3,7,13,0,0,9.5,26.5,43.5
8,Ravens,Cardinals,31,12,157,0,130,4,5,4,11,0,0,10.5,27,43.5
9,Browns,Cardinals,27,14,219,0,113,1,7,6,17,1,2,13.5,26,38.5
10,Falcons,Cardinals,23,10,94,0,184,3,4,7,14,1,2,2.5,23,43.5
11,Texans,Cardinals,21,11,338,3,111,4,2,9,13,0,1,5.5,27,48.5
12,Rams,Cardinals,37,10,229,1,228,0,2,6,12,2,2,3.5,24.5,45.5
13,Steelers,Cardinals,10,10,187,1,130,0,4,4,11,0,1,6.5,23.5,40.5
15,49ers,Cardinals,45,10,262,0,144,0,2,4,7,0,0,13.5,31,48.5
16,Bears,Cardinals,27,11,170,1,250,1,5,8,15,0,0,5.5,24,42.5
17,Eagles,Cardinals,31,7,184,1,91,0,2,4,9,1,1,12.5,30,47.5
18,Seahawks,Cardinals,21,9,189,0,138,0,5,6,12,0,0,2.5,25.5,48.5
