Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Cardinals,Commanders,16,11,132,2,96,3,5,4,14,0,1,-6.5,15.5,37.5
2,Broncos,Commanders,33,11,308,2,122,7,3,4,12,2,2,3.5,21,38.5
3,Bills,Commanders,37,10,218,1,168,0,1,9,15,0,1,5.5,24.5,43.5
5,Bears,Commanders,40,11,282,0,178,3,3,7,15,1,1,-4.5,20,44.5
6,Falcons,Commanders,16,11,307,3,106,3,3,5,15,1,3,2.5,22,41.5
7,Ginats,Commanders,14,14,279,2,106,4,8,5,16,0,0,-3.5,16.5,36.5
8,Eagles,Commanders,38,12,319,2,59,2,2,8,13,1,1,7.5,25,42.5
9,Patriots,Commanders,17,12,220,1,107,0,6,3,12,1,2,2.5,21.5,40.5
10,Seahawks,Commanders,29,12,369,0,120,1,4,4,14,1,1,5.5,24.5,43.5
11,Ginats,Commanders,31,12,246,0,91,9,7,5,14,0,1,-7.5,16,39.5
12,Cowboys,Commanders,45,9,331,0,100,0,3,6,10,0,0,13.5,31,48.5
13,Dolphins,Commanders,45,11,228,3,167,0,3,7,13,2,2,8.5,29,49.5
15,Rams,Commanders,28,12,258,2,196,3,3,9,16,0,0,6.5,27.5,48.5
16,Jets,Commanders,30,16,217,2,164,0,6,4,16,1,2,2.5,19.5,36.5
17,49ers,Commanders,27,9,230,0,184,1,2,4,9,0,1,14.5,32,49.5
18,Cowboys,Commanders,38,9,309,1,131,0,0,6,10,1,1,13.5,30,46.5
