Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Panthers,Falcons,10,12,146,3,154,2,5,5,14,0,2,-3.5,18,39.5
2,Packers,Falcons,24,10,151,0,84,1,4,3,9,0,1,-2.5,18.5,39.5
3,Lions,Falcons,20,12,243,1,115,0,6,4,14,0,0,2.5,25,47.5
4,Jaguars,Falcons,23,10,226,0,105,4,5,6,12,0,1,3.5,23,42.5
5,Texans,Falcons,19,11,249,0,64,0,6,4,13,0,0,-2.5,19.5,41.5
6,Commanders,Falcons,24,12,151,0,72,5,6,2,10,1,1,-2.5,19.5,41.5
7,Buccs,Falcons,13,10,275,2,73,3,3,6,12,0,1,2.5,20,37.5
8,Titans,Falcons,28,14,238,1,149,2,8,5,15,1,1,-1.5,16.5,34.5
9,Vikings,Falcons,31,13,236,2,146,4,3,7,16,1,1,-3.5,17.5,38.5
10,Cardinals,Falcons,25,10,249,1,122,2,3,3,11,1,1,-2.5,20.5,43.5
12,Saints,Falcons,15,10,304,2,148,1,1,6,14,0,0,1.5,22,42.5
13,Jets,Falcons,8,13,214,3,62,4,7,2,15,2,3,-2.5,16,34.5
14,Buccs,Falcons,29,12,144,0,148,1,6,6,16,1,2,-2.5,19.5,41.5
15,Panthers,Falcons,9,10,167,0,129,3,5,5,15,0,2,-2.5,15,32.5
16,Colts,Falcons,10,11,201,1,92,6,4,5,14,1,3,-2.5,21,44.5
17,Bears,Falcons,37,13,268,0,192,3,4,6,16,1,2,2.5,21,39.5
18,Saints,Falcons,48,12,264,0,154,3,4,3,10,1,1,3.5,22.5,41.5
