Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Cowboys,Giants,40,9,143,0,122,0,3,6,13,1,2,3.5,24,44.5
2,Cardinals,Giants,28,10,228,0,151,0,3,4,10,0,0,-4.5,17.5,39.5
3,49ers,Giants,30,11,310,0,141,2,3,9,16,0,0,10.5,27,43.5
4,Seahawks,Giants,24,11,173,0,121,2,4,3,12,0,2,1.5,23.5,45.5
5,Dolphins,Giants,31,11,308,3,222,1,2,3,8,0,0,13.5,30.5,47.5
6,Bills,Giants,14,9,169,2,128,0,3,6,12,0,0,15.5,29,42.5
7,Commanders,Giants,7,14,249,1,76,6,10,1,15,2,3,3.5,20,36.5
9,Raiders,Giants,30,12,209,0,125,0,5,5,14,0,1,1.5,19.5,37.5
10,Cowboys,Giants,49,13,472,2,168,0,2,6,12,1,2,17.5,28.5,39.5
11,Commanders,Giants,19,14,256,6,174,4,2,5,13,1,1,7.5,23.5,39.5
12,Patriots,Giants,7,12,143,3,147,2,6,4,14,2,2,4.5,19.5,34.5
14,Packers,Giants,22,11,218,3,123,2,3,5,14,1,1,5.5,21.5,37.5
15,Saints,Giants,24,9,218,0,87,1,4,6,12,0,0,6.5,23,39.5
16,Eagles,Giants,33,11,301,2,170,1,2,8,15,2,2,13.5,27.5,41.5
17,Rams,Giants,26,14,317,3,105,4,5,2,8,0,1,6.5,24.5,42.5
18,Eagles,Giants,10,13,203,4,133,5,4,5,13,0,1,4.5,24,43.5
