Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Falcons,Panthers,24,13,115,0,130,4,7,2,10,0,0,3.5,21.5,39.5
2,Saints,Panthers,20,11,236,1,134,4,5,7,16,0,0,3.5,21.5,39.5
3,Seahawks,Panthers,37,13,296,1,146,2,2,3,13,1,1,5.5,24.5,43.5
4,Vikings,Panthers,21,9,139,2,135,2,4,1,8,1,2,4.5,25,45.5
5,Lions,Panthers,42,11,236,0,159,2,2,4,10,1,2,8.5,25.5,42.5
6,Dolphins,Panthers,42,12,262,1,162,0,4,7,13,0,0,13.5,30,46.5
8,Texans,Panthers,13,9,140,1,110,2,6,5,12,1,1,3.5,22.5,41.5
9,Colts,Panthers,27,9,127,1,78,1,5,4,13,0,0,1.5,23.5,45.5
10,Bears,Panthers,16,11,162,0,133,0,6,6,15,1,1,3.5,21.5,39.5
11,Cowboys,Panthers,33,9,204,0,107,0,3,7,16,0,0,10.5,27,43.5
12,Titans,Panthers,17,11,185,0,80,1,7,2,11,1,1,3.5,20,36.5
13,Buccs,Panthers,21,13,202,1,128,1,8,6,15,0,0,3.5,20.5,37.5
14,Saints,Panthers,28,11,119,1,97,1,5,3,10,0,0,5.5,22.5,39.5
15,Falcons,Panthers,7,10,152,2,52,0,5,6,13,0,1,2.5,17.5,32.5
16,Packers,Panthers,33,10,219,0,162,1,3,8,14,0,0,3.5,21.5,39.5
17,Jaguars,Panthers,26,11,207,0,155,6,6,1,13,3,6,3.5,20.5,37.5
18,Buccs,Panthers,9,10,137,0,113,3,6,6,16,0,0,5.5,21,36.5
