Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Vikings,Buccs,17,11,344,3,41,2,5,6,14,0,0,4.5,24,43.5
2,Bears,Buccs,17,10,211,2,67,6,5,6,13,0,0,-2.5,18.5,39.5
3,Eagles,Buccs,25,10,277,2,201,1,1,10,16,2,3,4.5,24,43.5
4,Saints,Buccs,9,11,140,3,70,3,4,5,14,1,2,4.5,22.5,40.5
6,Lions,Buccs,20,11,353,0,40,3,4,9,16,0,0,3.5,23,42.5
7,Falcons,Buccs,16,10,250,3,156,1,3,7,13,0,0,-2.5,17.5,37.5
8,Bills,Buccs,24,11,324,1,115,2,4,7,13,0,1,9.5,26,42.5
9,Texans,Buccs,39,12,470,1,53,3,3,3,11,1,1,2.5,21.5,40.5
10,Titans,Buccs,6,11,199,1,42,4,4,6,15,0,2,-2.5,18.5,39.5
11,49ers,Buccs,27,10,333,0,115,4,3,4,10,0,1,13.5,28,42.5
12,Colts,Buccs,27,11,251,1,155,2,2,2,11,3,4,2.5,23.5,44.5
13,Panthers,Buccs,18,13,178,1,133,4,8,3,15,1,3,-3.5,17,37.5
14,Falcons,Buccs,25,13,347,1,96,3,4,5,13,1,1,2.5,22,41.5
15,Packers,Buccs,20,9,284,1,60,2,2,6,12,0,2,3.5,22.5,41.5
16,Jaguars,Buccs,12,10,286,4,37,2,2,10,19,1,2,1.5,22.5,43.5
17,Saints,Buccs,23,12,208,0,108,1,6,8,18,0,0,-2.5,20,42.5
18,Panthers,Buccs,0,9,94,2,131,3,6,2,12,2,2,-5.5,15.5,36.5
Wildcard,Eagles,Buccs,9,11,250,0,42,3,4,0,9,0,2,3.5,23.5,43.5
Divisional,Lions,Buccs,31,12,287,0,114,2,5,6,14,1,1,6.5,28,49.5
