Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Lions,Chiefs,21,11,253,1,118,1,5,5,15,1,3,-3.5,24,51.5
2,Jaguars,Chiefs,9,11,204,1,74,1,4,4,13,2,2,-2.5,23.5,49.5
3,Bears,Chiefs,10,10,99,2,116,3,5,4,12,1,2,-12.5,18,48.5
4,Jets,Chiefs,20,11,245,1,108,2,5,5,12,0,0,-8.5,16.5,41.5
5,Vikings,Chiefs,20,8,284,1,70,3,1,6,14,4,5,-3.5,24,51.5
6,Broncos,Chiefs,8,10,95,3,115,4,5,4,10,0,1,-9.5,19.5,48.5
7,Chargers,Chiefs,17,11,259,2,139,5,5,6,14,1,1,-5.5,21,47.5
8,Broncos,Chiefs,24,11,114,1,153,6,4,6,14,0,1,-7.5,19,45.5
9,Dolphins,Chiefs,14,11,159,1,77,3,7,3,12,0,1,-1.5,24.5,50.5
11,Eagles,Chiefs,21,12,150,1,114,5,7,3,11,0,0,-2.5,21.5,45.5
12,Raiders,Chiefs,17,10,248,0,123,1,3,7,14,0,2,-9.5,16.5,42.5
13,Packers,Chiefs,27,7,267,0,129,2,2,5,10,1,1,-5.5,19,43.5
14,Bills,Chiefs,20,11,233,1,118,3,4,6,15,1,1,1.5,25.5,49.5
15,Patriots,Chiefs,17,14,180,1,52,4,6,2,12,1,2,-10.5,14.5,39.5
16,Raiders,Chiefs,20,10,62,0,157,2,6,3,12,0,0,-11.5,14.5,40.5
17,Bengals,Chiefs,17,10,197,0,104,6,4,8,16,1,3,-7.5,19,45.5
18,Chargers,Chiefs,12,11,258,1,118,3,5,7,19,2,3,3.5,20,36.5
Wildcard,Dolphins,Chiefs,7,11,199,1,76,2,4,1,12,3,6,-4.5,19.5,43.5
Divisional,Bills,Chiefs,24,8,186,0,182,0,2,7,14,2,3,2.5,24,45.5
Conference,Ravens,Chiefs,10,11,272,3,81,4,5,3,11,2,2,4.5,24,43.5
Superbowl,49ers,Chiefs,22,13,268,2,110,1,5,3,12,1,1,1.5,24,46.5
