Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Chargers,Dolphins,34,10,229,0,233,3,3,9,15,0,1,-3.5,23,49.5
2,Patriots,Dolphins,17,11,231,2,88,4,4,7,15,1,2,0.5,23,45.5
3,Broncos,Dolphins,20,14,306,3,69,1,5,3,12,0,1,-5.5,21,47.5
4,Bills,Dolphins,48,12,320,0,104,2,2,5,10,0,0,3.5,27.5,51.5
5,Ginats,Dolphins,16,9,205,0,85,7,4,5,17,1,2,-13.5,17,47.5
6,Panthers,Dolphins,21,11,224,0,108,4,4,5,14,0,4,-13.5,16.5,46.5
7,Eagles,Dolphins,31,10,279,2,99,3,1,4,12,4,4,3.5,27.5,51.5
8,Patriots,Dolphins,17,11,161,1,77,3,5,1,9,1,2,7.5,26.5,45.5
9,Chiefs,Dolphins,21,11,323,2,78,2,6,3,10,0,0,1.5,26,50.5
11,Raiders,Dolphins,13,11,186,1,117,2,6,4,14,0,2,-14.5,15,44.5
12,Jets,Dolphins,13,10,179,2,29,7,6,5,14,2,3,-9.5,15.5,40.5
13,Commanders,Dolphins,15,10,150,2,29,3,5,6,14,1,1,-8.5,20.5,49.5
14,Titans,Dolphins,28,9,290,0,123,1,5,5,13,0,0,-13.5,15.5,44.5
15,Jets,Dolphins,0,11,136,4,23,6,5,5,13,0,2,-7.5,14.5,36.5
16,Cowboys,Dolphins,20,11,91,4,23,4,3,4,12,2,2,-1.5,24,49.5
17,Ravens,Dolphins,56,9,293,0,91,1,2,4,7,1,1,3.5,25.5,47.5
18,Bills,Dolphins,21,9,359,3,128,3,1,9,15,1,3,2.5,25.5,48.5
Wildcard,Chiefs,Dolphins,26,10,262,1,147,0,3,6,15,1,1,4.5,24,43.5
