Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
2,Cowboys,Jets,30,12,255,0,134,1,3,9,18,0,0,8.5,23,37.5
3,Patriots,Jets,15,13,201,0,157,0,8,8,19,0,0,2.5,18.5,34.5
4,Chiefs,Jets,23,11,203,2,204,1,2,7,12,0,0,8.5,25,41.5
5,Broncos,Jets,21,12,196,3,139,4,4,4,10,0,0,2.5,22.5,42.5
6,Eagles,Jets,14,10,280,4,80,2,2,7,14,1,2,5.5,23.5,41.5
9,Chargers,Jets,27,13,136,0,84,5,8,7,16,0,0,3.5,22.5,41.5
10,Raiders,Jets,16,11,153,2,148,3,5,5,15,2,2,-1.5,17,35.5
11,Bills,Jets,32,12,275,1,130,1,3,5,13,1,1,8.5,24,39.5
12,Dolphins,Jets,34,13,275,3,36,2,1,11,16,0,1,9.5,25,40.5
13,Falcons,Jets,13,14,121,0,90,3,9,4,14,0,0,2.5,18.5,34.5
14,Texans,Jets,6,13,95,0,81,5,8,1,12,0,3,3.5,18.5,33.5
15,Dolphins,Jets,30,12,223,1,158,3,4,6,15,2,2,7.5,22,36.5
16,Commanders,Jets,28,15,156,3,102,1,8,3,12,1,1,-2.5,17,36.5
17,Browns,Jets,37,12,309,3,127,1,3,5,10,0,1,6.5,20,33.5
18,Patriots,Jets,3,15,88,2,88,7,9,1,14,0,3,2.5,15.5,28.5
