Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Eagles,Patriots,25,13,170,1,97,3,4,4,13,0,1,3.5,23.5,43.5
2,Dolphins,Patriots,24,11,249,1,145,1,3,4,10,0,0,-0.5,22.5,45.5
3,Jets,Patriots,10,13,157,0,38,3,8,2,14,1,2,-2.5,16,34.5
4,Cowboys,Patriots,38,10,281,0,124,3,2,8,15,0,1,5.5,24.5,43.5
5,Saints,Patriots,34,14,183,0,136,2,7,5,15,0,0,-1.5,18,37.5
6,Raiders,Patriots,21,9,264,1,84,0,2,8,16,0,0,3.5,22,40.5
7,Bills,Patriots,25,10,265,2,81,1,1,5,12,2,3,7.5,23.5,39.5
8,Dolphins,Patriots,31,11,324,2,78,2,3,5,14,3,3,7.5,26.5,45.5
9,Commanders,Patriots,20,12,325,2,124,3,5,9,17,0,0,-2.5,19,40.5
10,Colts,Patriots,10,10,194,1,70,0,5,5,13,2,2,2,22.25,42.5
12,Ginats,Patriots,10,12,191,1,58,6,8,4,13,0,0,-4.5,15,34.5
13,Chargers,Patriots,6,11,212,0,29,0,8,5,15,0,0,4.5,21.5,38.5
14,Steelers,Patriots,18,14,190,1,82,2,6,3,14,1,3,5.5,18,30.5
15,Chiefs,Patriots,27,13,309,2,43,3,4,5,13,0,1,10.5,25,39.5
16,Broncos,Patriots,23,15,238,2,83,5,7,4,13,1,2,7.5,22.5,37.5
17,Bills,Patriots,27,12,169,1,127,1,6,7,15,0,0,15.5,28,40.5
18,Jets,Patriots,17,14,70,1,185,1,7,3,15,0,1,-2.5,13,28.5
