Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Rams,Seahawks,30,9,334,0,92,0,1,11,17,1,1,-5.5,19.5,44.5
3,Panthers,Seahawks,27,12,361,0,44,3,5,10,19,0,1,-5.5,19,43.5
4,Ginats,Seahawks,3,12,203,3,112,11,5,6,16,2,4,-1.5,22,45.5
6,Bengals,Seahawks,17,11,185,1,46,3,6,3,11,0,0,1.5,23.5,45.5
7,Cardinals,Seahawks,10,11,150,0,127,4,5,5,15,0,3,-9.5,17,43.5
8,Browns,Seahawks,20,12,257,3,155,3,3,6,15,0,1,-3.5,18,39.5
9,Ravens,Seahawks,37,12,225,2,298,1,2,6,13,1,2,5.5,25,44.5
10,Commanders,Seahawks,26,11,312,1,68,3,5,7,15,1,1,-5.5,19,43.5
11,Rams,Seahawks,17,11,190,1,82,1,5,2,9,0,1,2.5,23.5,44.5
12,49ers,Seahawks,31,12,209,1,169,1,5,5,11,0,0,7.5,25.5,43.5
13,Cowboys,Seahawks,41,11,299,0,136,4,0,8,14,1,2,9.5,28.5,47.5
14,49ers,Seahawks,28,12,368,2,173,3,5,6,11,0,0,14.5,29.5,44.5
15,Eagles,Seahawks,17,10,143,2,178,0,5,9,16,1,1,4.5,26,47.5
16,Titans,Seahawks,17,8,164,0,162,6,3,6,12,1,1,-2.5,20,42.5
17,Steelers,Seahawks,30,10,274,0,202,1,1,6,13,2,3,-4.5,18,40.5
18,Cardinals,Seahawks,20,9,262,0,206,1,3,5,13,2,2,-2.5,23,48.5
