Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Saints,Titans,16,12,305,2,69,4,5,7,16,0,0,2.5,21.5,40.5
3,Browns,Titans,27,9,289,1,78,3,3,6,13,1,1,3.5,20.5,37.5
4,Bengals,Titans,3,9,165,1,72,3,5,2,9,0,1,3.5,22.5,41.5
5,Colts,Titans,23,8,253,0,193,1,1,8,13,0,1,-2.5,20.5,43.5
6,Ravens,Titans,24,12,223,1,139,1,3,8,16,0,0,5.5,23.5,41.5
8,Falcons,Titans,23,14,246,1,140,6,6,4,15,1,2,1.5,18,34.5
9,Steelers,Titans,20,9,160,0,166,0,4,6,12,0,0,3.5,20,36.5
10,Buccs,Titans,20,11,278,1,77,3,5,7,15,0,0,2.5,21,39.5
11,Jaguars,Titans,34,9,276,0,128,2,4,2,7,1,1,6.5,23.5,40.5
12,Panthers,Titans,10,10,194,1,96,4,6,6,16,2,3,-3.5,16.5,36.5
14,Dolphins,Titans,27,11,139,1,138,5,5,4,13,0,1,13.5,29,44.5
16,Seahawks,Titans,20,7,227,0,58,3,3,7,13,0,0,2.5,22.5,42.5
17,Texans,Titans,26,8,213,0,111,1,3,3,11,0,0,5.5,24.5,43.5
18,Jaguars,Titans,20,10,296,2,82,2,3,6,11,0,1,3.5,22.5,41.5
