Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Buccs,Vikings,20,12,173,0,73,1,6,6,17,1,1,-4.5,19.5,43.5
2,Eagles,Vikings,34,12,193,1,259,4,4,6,14,1,1,6.5,27.5,48.5
3,Chargers,Vikings,28,11,454,1,30,1,3,5,11,1,2,2.5,27,51.5
4,Panthers,Vikings,13,9,204,1,83,5,5,5,14,2,3,-4.5,20.5,45.5
5,Chiefs,Vikings,27,8,281,0,67,2,3,9,15,0,0,3.5,27.5,51.5
6,Bears,Vikings,13,12,141,3,162,5,4,6,14,0,1,-3.5,20,43.5
7,49ers,Vikings,17,9,272,3,65,1,1,5,9,1,1,6.5,25.5,44.5
8,Packers,Vikings,10,10,229,1,74,4,4,5,14,1,4,0.5,20.5,40.5
9,Falcons,Vikings,28,13,268,2,110,1,4,10,18,0,0,3.5,21,38.5
10,Saints,Vikings,19,13,232,2,65,3,6,4,14,2,2,2.5,22,41.5
11,Broncos,Vikings,21,11,259,0,46,2,4,2,12,1,1,2.5,22.5,42.5
12,Bears,Vikings,12,10,217,2,118,3,3,8,18,1,1,-3.5,20,43.5
14,Raiders,Vikings,0,12,171,3,56,4,8,3,14,2,2,3.5,22,40.5
16,Lions,Vikings,30,11,257,1,143,1,3,6,12,2,2,2.5,25,47.5
17,Packers,Vikings,33,10,293,1,177,0,2,9,14,0,1,0.5,21.5,42.5
18,Lions,Vikings,30,11,320,0,70,1,5,1,9,2,2,3.5,25.5,47.5
