Offence,Defence,Week,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att
Raiders,Bills,2,10,9,185,3,55,0,3,3,7,0,0
Commanders,Bills,3,3,11,170,5,105,9,3,1,9,0,1
Dolphins,Bills,4,20,11,282,2,142,4,3,3,10,0,3
Jaguars,Bills,5,25,12,278,2,196,0,6,5,12,0,0
Giants,Bills,6,9,10,200,0,132,3,4,10,19,1,2
Patriots,Bills,7,29,9,272,1,96,1,2,4,9,0,0
Buccs,Bills,8,18,11,237,0,78,3,6,4,15,1,1
Bengals,Bills,9,24,9,348,0,54,1,3,8,15,1,2
Broncos,Bills,10,24,12,193,1,122,4,5,8,19,1,1
Jets,Bills,11,6,11,132,4,63,6,6,0,11,4,5
Chargers,Dolphins,1,34,10,229,0,233,3,3,9,15,0,1
Patriots,Dolphins,2,17,11,231,2,88,4,4,7,15,1,2
Broncos,Dolphins,3,20,14,306,3,69,1,5,3,12,0,1
Bills,Dolphins,4,48,12,320,0,104,2,2,5,10,0,0
Giants,Dolphins,5,16,9,205,0,85,7,4,5,17,1,2
Panthers,Dolphins,6,21,11,224,0,108,4,4,5,14,0,4
Eagles,Dolphins,7,31,10,279,2,99,3,1,4,12,4,4
Patriots,Dolphins,8,17,11,161,1,77,3,5,1,9,1,2
Chiefs,Dolphins,9,21,11,323,2,78,2,6,3,10,0,0
Raiders,Dolphins,11,13,11,186,1,117,2,6,4,14,0,2
Jets,Dolphins,12,13,10,179,2,29,7,6,5,14,2,3
Commanders,Dolphins,13,15,10,150,2,29,3,5,6,14,1,1
Eagles,Patriots,1,25,13,170,1,97,3,4,4,13,0,1
Dolphins,Patriots,2,24,11,249,1,145,1,3,4,10,0,0
Jets,Patriots,3,10,13,157,0,38,3,8,2,14,1,2
Cowboys,Patriots,4,38,10,281,0,124,3,2,8,15,0,1
Saints,Patriots,5,34,14,183,0,136,2,7,5,15,0,0
Raiders,Patriots,6,21,9,264,1,84,0,2,8,16,0,0
Bills,Patriots,7,25,10,265,2,81,1,1,5,12,2,3
Dolphins,Patriots,8,31,11,324,2,78,2,3,5,14,3,3
Commanders,Patriots,9,20,12,325,2,124,3,5,9,17,0,0
Colts,Patriots,10,10,10,194,1,70,0,5,5,13,2,2
Giants,Patriots,12,10,12,191,1,58,6,8,4,13,0,0
Chargers,Patriots,13,6,11,212,0,29,0,8,5,15,0,0
Cowboys,Jets,2,30,12,255,0,134,1,3,9,18,0,0
Patriots,Jets,3,15,13,201,0,157,0,8,8,19,0,0
Chiefs,Jets,4,23,11,203,2,204,1,2,7,12,0,0
Broncos,Jets,5,21,12,196,3,139,4,4,4,10,0,0
Eagles,Jets,6,14,10,280,4,80,2,2,7,14,1,2
Chargers,Jets,9,27,13,136,0,84,5,8,7,16,0,0
Raiders,Jets,10,16,11,153,2,148,3,5,5,15,2,2
Bills,Jets,11,32,12,275,1,130,1,3,5,13,1,1
Dolphins,Jets,12,34,13,275,3,36,2,1,11,16,0,1
Falcons,Jets,13,13,14,121,0,90,3,9,4,14,0,0
Texans,Ravens,1,9,12,242,1,72,5,4,7,18,1,4
Bengals,Ravens,2,24,7,222,1,66,1,3,10,15,1,1
Browns,Ravens,4,3,13,121,3,93,4,8,4,16,1,1
Steelers,Ravens,5,17,12,224,1,87,3,6,6,15,0,0
Titans,Ravens,6,16,10,150,2,129,6,5,1,9,0,0
Lions,Ravens,7,6,10,284,1,84,5,4,5,16,2,6
Cardinals,Ravens,8,24,13,208,2,129,2,4,5,12,0,2
Seahawks,Ravens,9,3,13,157,2,28,4,7,1,12,0,1
Browns,Ravens,10,33,10,213,2,178,4,2,8,16,1,2
Bengals,Ravens,11,20,11,169,0,136,5,5,2,11,1,1
Chargers,Ravens,12,10,11,217,4,86,3,3,7,15,1,3
Browns,Bengals,1,24,14,154,2,206,3,7,4,14,0,0
Ravens,Bengals,2,27,9,237,0,178,0,2,9,14,0,0
Rams,Bengals,3,16,12,269,2,71,6,6,1,11,1,1
Titans,Bengals,4,27,9,242,1,173,3,2,8,13,1,1
Cardinals,Bengals,5,20,13,166,3,142,3,4,4,11,0,3
Seahawks,Bengals,6,13,11,326,2,87,4,3,5,12,0,2
49ers,Bengals,8,17,11,365,3,113,2,3,5,9,0,0
Bills,Bengals,9,18,9,258,2,68,1,3,7,12,0,0
Texans,Bengals,10,30,13,356,3,188,1,4,4,13,0,1
Ravens,Bengals,11,34,11,264,0,157,3,4,6,12,0,0
Steelers,Bengals,12,16,10,278,1,153,2,4,8,17,0,0
Bengals,Browns,1,3,15,82,0,75,2,10,2,15,0,1
Steelers,Browns,2,26,14,222,2,55,2,7,4,14,0,0
Titans,Browns,3,3,10,104,0,26,5,7,2,12,1,1
Ravens,Browns,4,28,12,186,1,131,3,7,4,12,1,1
49ers,Browns,6,17,13,125,1,108,3,6,3,12,0,0
Colts,Browns,7,38,16,305,4,168,4,5,7,15,0,0
Seahawks,Browns,8,24,12,254,2,114,1,5,4,12,1,1
Cardinals,Browns,9,0,14,58,3,41,7,9,1,12,0,1
Ravens,Browns,10,31,10,223,2,106,3,3,2,8,0,0
Steelers,Browns,11,10,13,106,0,172,3,9,3,14,1,1
Broncos,Browns,12,29,12,134,1,169,1,5,6,14,0,1
Rams,Browns,13,36,13,279,0,120,0,5,4,12,0,0
49ers,Steelers,1,30,12,220,1,188,3,3,6,13,1,1
Browns,Steelers,2,22,15,235,4,198,6,5,5,16,0,2
Raiders,Steelers,3,18,12,324,3,69,4,5,4,13,1,2
Texans,Steelers,4,30,10,312,0,139,0,3,6,12,0,1
Ravens,Steelers,5,10,12,236,3,125,4,5,5,14,0,2
Rams,Steelers,7,17,10,231,1,135,2,4,9,16,0,0
Jaguars,Steelers,8,20,11,291,3,106,3,6,3,12,0,2
Titans,Steelers,9,16,9,262,1,105,4,3,3,13,1,2
Packers,Steelers,10,19,11,289,2,116,1,4,8,16,2,2
Browns,Steelers,11,13,12,165,1,96,1,8,4,17,1,1
Bengals,Steelers,12,10,10,227,1,25,4,6,2,10,0,0
Cardinals,Steelers,13,24,10,145,0,150,2,5,10,17,0,0
Ravens,Texans,1,25,11,169,2,110,4,5,8,15,0,0
Colts,Texans,2,31,10,227,0,126,0,5,6,12,0,0
Jaguars,Texans,3,17,11,288,2,116,0,4,9,15,0,0
Steelers,Texans,4,6,10,132,1,114,3,5,6,14,0,1
Falcons,Texans,5,21,12,351,2,96,0,5,7,14,0,0
Saints,Texans,6,13,10,357,2,89,2,3,6,15,0,2
Panthers,Texans,8,15,10,235,0,44,6,4,5,14,1,2
Buccs,Texans,9,37,12,265,1,81,2,4,3,13,2,2
Bengals,Texans,10,27,13,347,2,66,4,5,6,14,1,1
Cardinals,Texans,11,16,10,214,2,123,3,2,3,10,1,4
Jaguars,Texans,12,24,11,407,1,81,4,4,6,13,0,1
Broncos,Texans,13,17,13,186,3,118,3,6,0,11,3,3
Jaguars,Colts,1,31,15,245,2,105,4,5,2,12,1,5
Texans,Colts,2,20,11,384,1,52,6,3,9,19,2,2
Titans,Colts,5,16,8,264,1,89,1,1,5,12,1,2
Jaguars,Colts,6,37,14,167,1,85,3,3,6,17,3,6
Browns,Colts,7,39,16,183,2,150,2,5,4,16,1,2
Saints,Colts,8,38,12,354,1,161,1,4,6,12,0,0
Panthers,Colts,9,13,12,173,3,138,4,4,7,16,2,3
Patriots,Colts,10,6,10,195,2,167,5,4,6,14,1,1
Buccs,Colts,12,20,10,199,2,125,6,4,5,13,1,1
Colts,Jaguars,1,21,14,223,3,65,4,5,2,12,1,5
Chiefs,Jaguars,2,17,10,305,3,101,1,4,4,13,2,2
Texans,Jaguars,3,37,11,280,0,86,0,4,9,15,0,0
Falcons,Jaguars,4,7,10,191,3,127,4,5,6,12,0,1
Bills,Jaguars,5,20,12,359,2,29,0,6,5,12,0,0
Colts,Jaguars,6,20,13,329,4,44,3,3,6,17,3,6
Saints,Jaguars,7,24,14,301,1,112,1,4,3,18,4,6
Steelers,Jaguars,8,10,12,211,2,70,3,6,3,12,0,2
49ers,Jaguars,10,34,11,302,0,144,2,3,4,12,1,2
Titans,Jaguars,11,14,9,158,2,92,2,4,2,7,1,1
Texans,Jaguars,12,21,10,304,0,91,4,4,6,13,0,1
Saints,Titans,1,16,12,305,2,69,4,5,7,16,0,0
Browns,Titans,3,27,9,289,1,78,3,3,6,13,1,1
Bengals,Titans,4,3,9,165,1,72,3,5,2,9,0,1
Colts,Titans,5,23,8,253,0,193,1,1,8,13,0,1
Ravens,Titans,6,24,12,223,1,139,1,3,8,16,0,0
Falcons,Titans,8,23,14,246,1,140,6,6,4,15,1,2
Steelers,Titans,9,20,9,160,0,166,0,4,6,12,0,0
Buccs,Titans,10,20,11,278,1,77,3,5,7,15,0,0
Jaguars,Titans,11,34,9,276,0,128,2,4,2,7,1,1
Panthers,Titans,12,10,10,194,1,96,4,6,6,16,2,3
Raiders,Broncos,1,17,7,200,1,61,0,1,5,11,1,1
Commanders,Broncos,2,35,11,299,0,122,4,3,3,10,1,1
Dolphins,Broncos,3,70,14,376,0,350,0,1,5,9,1,3
Bears,Broncos,4,28,10,335,2,171,4,2,6,12,1,3
Jets,Broncos,5,31,11,199,2,234,4,3,3,12,0,0
Chiefs,Broncos,6,19,11,306,1,96,2,3,4,13,0,1
Packers,Broncos,7,17,9,194,1,137,0,3,6,14,2,2
Chiefs,Broncos,8,9,11,240,5,62,3,2,3,10,1,3
Bills,Broncos,10,22,11,177,4,192,0,3,3,8,0,1
Vikings,Broncos,11,20,10,221,3,175,2,2,6,15,3,4
Browns,Broncos,12,12,12,190,3,107,4,3,2,13,2,5
Texans,Broncos,13,22,13,292,0,89,5,7,4,16,1,1
Lions,Chiefs,1,21,11,253,1,118,1,5,5,15,1,3
Jaguars,Chiefs,2,9,11,204,1,74,1,4,4,13,2,2
Bears,Chiefs,3,10,10,99,2,116,3,5,4,12,1,2
Jets,Chiefs,4,20,11,245,1,108,2,5,5,12,0,0
Vikings,Chiefs,5,20,8,284,1,70,3,1,6,14,4,5
Broncos,Chiefs,6,8,10,95,3,115,4,5,4,10,0,1
Chargers,Chiefs,7,17,11,259,2,139,5,5,6,14,1,1
Broncos,Chiefs,8,24,11,114,1,153,6,4,6,14,0,1
Dolphins,Chiefs,9,14,11,159,1,77,3,7,3,12,0,1
Eagles,Chiefs,11,21,12,150,1,114,5,7,3,11,0,0
Raiders,Chiefs,12,17,10,248,0,123,1,3,7,14,0,2
Packers,Chiefs,13,27,7,267,0,129,2,2,5,10,1,1
Broncos,Raiders,1,16,6,177,0,94,2,2,5,11,0,0
Bills,Raiders,2,38,9,274,0,183,2,1,7,13,3,4
Steelers,Raiders,3,23,13,235,0,105,1,6,6,15,0,0
Chargers,Raiders,4,24,12,167,1,155,2,4,5,14,1,2
Packers,Raiders,5,13,11,182,3,110,2,4,4,12,1,1
Patriots,Raiders,6,17,9,200,1,83,4,3,6,12,0,0
Bears,Raiders,7,30,9,162,0,173,2,3,8,13,0,1
Lions,Raiders,8,26,12,272,3,222,1,1,6,14,1,1
Giants,Raiders,9,6,13,200,2,123,8,4,3,12,1,5
Jets,Raiders,10,12,11,263,1,108,2,5,7,16,0,0
Dolphins,Raiders,11,20,11,176,1,93,1,3,3,11,0,1
Chiefs,Raiders,12,31,10,298,0,69,1,4,5,11,0,0
Dolphins,Chargers,1,36,11,466,2,70,0,1,4,9,1,1
Vikings,Chargers,3,24,11,367,2,130,4,3,4,14,2,3
Raiders,Chargers,4,17,11,238,3,76,7,5,1,11,3,3
Cowboys,Chargers,6,20,10,272,1,96,5,4,5,13,1,2
Chiefs,Chargers,7,31,11,424,2,68,1,3,6,11,0,0
Bears,Chargers,8,13,11,232,2,73,1,3,6,14,1,4
Jets,Chargers,9,6,13,263,3,64,8,7,3,17,3,4
Lions,Chargers,10,41,10,333,0,200,0,1,4,13,4,5
Packers,Chargers,11,23,11,322,0,102,3,4,7,14,0,1
Ravens,Chargers,12,20,11,177,0,197,2,3,4,13,1,3
Patriots,Chargers,13,0,11,141,1,148,5,7,4,14,1,3
Giants,Cowboys,1,0,12,110,3,108,7,3,5,16,3,5
Jets,Cowboys,2,10,11,170,4,64,3,5,1,10,1,1
Cardinals,Cowboys,3,28,9,189,0,222,2,2,5,10,0,0
