Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,49ers,steelers,30,12,220,1,188,3,3,6,13,1,1,1.5,21.0,40.5
2,browns,steelers,22,15,235,4,198,6,5,5,16,0,2,2.5,21.0,39.5
3,raiders,steelers,18,12,324,3,69,4,5,4,13,1,2,2.5,22.5,42.5
4,texans,steelers,30,10,312,0,139,0,3,6,12,0,1,-2.5,19.0,40.5
5,ravens,steelers,10,12,236,3,125,4,5,5,14,0,2,4.5,21.0,37.5
7,rams,steelers,17,10,231,1,135,2,4,9,16,0,0,3.5,23.5,43.5
8,jaguars,steelers,20,11,291,3,106,3,6,3,12,0,2,2.5,22.5,42.5
9,titans,steelers,16,9,262,1,105,4,3,3,13,1,2,-3.5,16.5,36.5
10,packers,steelers,19,11,289,2,116,1,4,8,16,2,2,-3.5,17.0,37.5
11,browns,steelers,13,12,165,1,96,1,8,4,17,1,1,2.5,18.5,34.5
12,bengals,steelers,10,10,227,1,25,4,6,2,10,0,0,-2.5,17.0,36.5
13,cardinals,steelers,24,10,145,0,150,2,5,10,17,0,0,-6.5,17.0,40.5
14,patriots,steelers,21,13,240,1,81,2,9,4,13,0,0,-5.5,12.5,30.5
15,colts,steelers,30,11,215,0,170,3,2,6,15,1,2,1.5,21.5,41.5
16,bengals,steelers,11,11,335,3,59,3,3,6,13,0,2,2.5,21.0,39.5
17,seahawks,steelers,23,9,290,1,88,1,3,3,9,0,0,4.5,22.5,40.5
18,ravens,steelers,10,12,146,2,106,4,7,4,13,1,1,-3.5,15.5,34.5
Wildcard,bills,steelers,31,11,203,0,179,2,3,5,12,1,1,12.5,26.0,39.5
1,eagles,patriots,25,13,170,1,97,3,4,4,13,0,1,3.5,23.5,43.5
2,dolphins,patriots,24,11,249,1,145,1,3,4,10,0,0,-0.5,22.5,45.5
3,jets,patriots,10,13,157,0,38,3,8,2,14,1,2,-2.5,16.0,34.5
4,cowboys,patriots,38,10,281,0,124,3,2,8,15,0,1,5.5,24.5,43.5
5,saints,patriots,34,14,183,0,136,2,7,5,15,0,0,-1.5,18.0,37.5
6,raiders,patriots,21,9,264,1,84,0,2,8,16,0,0,3.5,22.0,40.5
7,bills,patriots,25,10,265,2,81,1,1,5,12,2,3,7.5,23.5,39.5
8,dolphins,patriots,31,11,324,2,78,2,3,5,14,3,3,7.5,26.5,45.5
9,commanders,patriots,20,12,325,2,124,3,5,9,17,0,0,-2.5,19.0,40.5
10,colts,patriots,10,10,194,1,70,0,5,5,13,2,2,2.0,22.25,42.5
12,ginats,patriots,10,12,191,1,58,6,8,4,13,0,0,-4.5,15.0,34.5
13,chargers,patriots,6,11,212,0,29,0,8,5,15,0,0,4.5,21.5,38.5
14,steelers,patriots,18,14,190,1,82,2,6,3,14,1,3,5.5,18.0,30.5
15,chiefs,patriots,27,13,309,2,43,3,4,5,13,0,1,10.5,25.0,39.5
16,broncos,patriots,23,15,238,2,83,5,7,4,13,1,2,7.5,22.5,37.5
17,bills,patriots,27,12,169,1,127,1,6,7,15,0,0,15.5,28.0,40.5
18,jets,patriots,17,14,70,1,185,1,7,3,15,0,1,-2.5,13.0,28.5
1,dolphins,chargers,36,11,466,2,70,0,1,4,9,1,1,3.5,26.5,49.5
3,vikings,chargers,24,11,367,2,130,4,3,4,14,2,3,-2.5,24.5,51.5
4,raiders,chargers,17,11,238,3,76,7,5,1,11,3,3,-7.5,20.0,47.5
6,cowboys,chargers,20,10,272,1,96,5,4,5,13,1,2,1.5,25.5,49.5
7,chiefs,chargers,31,11,424,2,68,1,3,6,11,0,0,5.5,26.5,47.5
8,bears,chargers,13,11,232,2,73,1,3,6,14,1,4,-9.5,17.5,44.5
