Offence,Defence,Week,Actual_Score,Opponent_Actual_Score,Total_Actual_Score,Predicted_Score,Opponent_Predicted_Score,Total_Predicted_Score,Line,Vegas_Expected_Score,Total_Points_Vegas,Spread_Bet_Win,Over_Under_Win,Moneyline_Win,Team_Total_Bet_Win,Profit_Spread,Profit_Over_Under,Profit_Team_Total,Total_Profit
49ers,cardinals,15,45.0,29.0,74.0,31.67731829549536,18.60277867835147,50.28009697384683,13.5,31.0,48.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
49ers,chiefs,Superbowl,22.0,25.0,47.0,31.23463766274409,22.89715198472513,54.13178964746922,1.5,24.0,46.5,0.0,1.0,0.0,0.0,-55.0,50.0,-110.0,-115.0
49ers,commanders,17,27.0,10.0,37.0,31.45202499353394,21.51874422229669,52.97076921583063,14.5,32.0,49.5,0.0,0.0,1.0,1.0,-55.0,-55.0,100.0,-10.0
49ers,lions,Conference,34.0,31.0,65.0,31.236869353073928,26.68519709797158,57.92206645104551,7.5,30.5,53.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
49ers,packers,Divisional,24.0,21.0,45.0,28.46643953847465,25.136641149472712,53.60308068794736,10.5,30.5,50.5,0.0,0.0,1.0,0.0,-55.0,-55.0,-110.0,-220.0
49ers,rams,18,20.0,21.0,41.0,29.347602541058464,24.40437184152004,53.7519743825785,5.5,23.0,40.5,1.0,1.0,0.0,0.0,50.0,50.0,-110.0,-10.0
49ers,ravens,16,19.0,33.0,52.0,32.10750432168696,27.281491603843442,59.3889959255304,6.5,27.0,47.5,1.0,1.0,0.0,0.0,50.0,50.0,-110.0,-10.0
49ers,seahawks,14,28.0,16.0,44.0,30.16263460421512,20.7442647596638,50.90689936387892,14.5,29.5,44.5,0.0,0.0,1.0,1.0,-55.0,-55.0,100.0,-10.0
bears,browns,15,17.0,20.0,37.0,21.29758173774045,18.776515538738906,40.07409727647936,-2.5,17.5,37.5,0.0,0.0,0.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,cardinals,16,27.0,16.0,43.0,21.004051769541046,20.918906294822836,41.92295806436388,5.5,24.0,42.5,0.0,0.0,1.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,falcons,17,37.0,17.0,54.0,21.306722291657827,23.02919594760619,44.33591823926402,2.5,21.0,39.5,0.0,1.0,0.0,1.0,-55.0,50.0,100.0,95.0
bears,lions,14,28.0,13.0,41.0,20.581480683567527,26.565558243538085,47.14703892710561,-3.5,20.5,44.5,0.0,0.0,0.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,packers,18,9.0,17.0,26.0,20.139567468248963,24.97226425687719,45.11183172512615,-2.5,21.5,45.5,1.0,1.0,1.0,1.0,50.0,50.0,100.0,200.0
bengals,browns,18,31.0,14.0,45.0,20.130157913425467,21.292441768663505,41.42259968208897,7.5,22.5,37.5,0.0,1.0,0.0,1.0,-55.0,50.0,100.0,95.0
bengals,chiefs,17,17.0,25.0,42.0,20.18712682627257,21.318757840078636,41.50588466635121,-7.5,19.0,45.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
bengals,colts,14,34.0,14.0,48.0,19.099842811391337,22.02131713783672,41.12115994922806,2.5,24.0,45.5,0.0,0.0,0.0,0.0,-55.0,-55.0,-110.0,-220.0
bengals,steelers,16,11.0,31.0,42.0,19.950074130180244,18.94397113381064,38.89404526399088,2.5,21.0,39.5,1.0,0.0,0.0,0.0,50.0,-55.0,-110.0,-115.0
bills,chargers,16,24.0,22.0,46.0,29.57722419344585,21.5466993744231,51.12392356786895,12.5,29.0,45.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
bills,chiefs,14,20.0,17.0,37.0,28.30059143597457,24.037498199558367,52.33808963553294,1.5,25.5,49.5,1.0,0.0,1.0,0.0,50.0,-55.0,-110.0,-115.0
