Offence,Defence,Week,Actual_Score,Opponent_Actual_Score,Total_Actual_Score,Predicted_Score,Opponent_Predicted_Score,Total_Predicted_Score,Line,Vegas_Expected_Score,Total_Points_Vegas,Spread_Bet_Win,Over_Under_Win,Moneyline_Win,Team_Total_Bet_Win,Profit_Spread,Profit_Over_Under,Profit_Team_Total,Total_Profit
49ers,cardinals,15,45.0,29.0,74.0,31.439121363513635,19.46741660537556,50.9065379688892,13.5,31.0,48.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
49ers,chiefs,Superbowl,22.0,25.0,47.0,30.27225581802471,22.342490311676812,52.61474612970152,1.5,24.0,46.5,0.0,1.0,0.0,0.0,-55.0,50.0,-110.0,-115.0
49ers,commanders,17,27.0,10.0,37.0,30.711431493288774,20.96268400488412,51.674115498172895,14.5,32.0,49.5,0.0,0.0,1.0,1.0,-55.0,-55.0,100.0,-10.0
49ers,lions,Conference,34.0,31.0,65.0,30.12601446058197,26.51400942532311,56.64002388590508,7.5,30.5,53.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
49ers,packers,Divisional,24.0,21.0,45.0,30.30756578973698,24.762724357398422,55.0702901471354,10.5,30.5,50.5,0.0,0.0,1.0,0.0,-55.0,-55.0,-110.0,-220.0
49ers,rams,18,20.0,21.0,41.0,30.843060187904904,24.268657606871997,55.1117177947769,5.5,23.0,40.5,0.0,1.0,0.0,0.0,-55.0,50.0,-110.0,-115.0
49ers,ravens,16,19.0,33.0,52.0,32.0825735649523,27.12425313455926,59.20682669951156,6.5,27.0,47.5,1.0,1.0,0.0,0.0,50.0,50.0,-110.0,-10.0
49ers,seahawks,14,28.0,16.0,44.0,31.41099203626178,21.36562827841901,52.77662031468079,-1.5,22.5,46.5,1.0,0.0,1.0,1.0,50.0,-55.0,100.0,95.0
bears,browns,15,17.0,20.0,37.0,21.37636376229552,19.322462197851564,40.69882596014708,-2.5,17.5,37.5,0.0,0.0,0.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,cardinals,16,27.0,16.0,43.0,19.91896247797604,19.89557368438142,39.81453616235746,5.5,24.0,42.5,0.0,0.0,1.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,falcons,17,37.0,17.0,54.0,20.48172044863408,22.509153591169373,42.99087403980345,2.5,21.0,39.5,0.0,1.0,0.0,1.0,-55.0,50.0,100.0,95.0
bears,lions,14,28.0,13.0,41.0,20.329118981344592,26.161256923363304,46.490375904707896,-3.5,20.5,44.5,0.0,0.0,0.0,0.0,-55.0,-55.0,-110.0,-220.0
bears,packers,18,9.0,17.0,26.0,21.29957932838056,23.74643379553504,45.0460131239156,-2.5,21.5,45.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
bengals,browns,18,31.0,14.0,45.0,20.02432612460313,20.829830529891066,40.8541566544942,7.5,22.5,37.5,0.0,1.0,0.0,1.0,-55.0,50.0,100.0,95.0
bengals,chiefs,17,17.0,25.0,42.0,20.155869718531317,22.47663161696892,42.63250133550024,-7.5,19.0,45.5,0.0,1.0,1.0,1.0,-55.0,50.0,100.0,95.0
