Team,Week,3rd downs Att,3rd dwns Conv,4th downs Att,4th downs Conv,Passing Yards,Punts,Rushing,Sacks,Total drives,Turnovers
chiefs,14,12.583333333333334,5.916666666666667,0.9166666666666666,0.4166666666666667,274.6666666666667,3.3333333333333335,108.66666666666667,1.4166666666666667,10.416666666666666,1.75
titans,14,11.9,3.6,1.1,0.7,200.0,4.4,98.9,3.1,10.3,1.2
steelers,14,13.666666666666666,4.916666666666667,0.8333333333333334,0.3333333333333333,195.25,5.583333333333333,115.33333333333333,2.0833333333333335,11.25,0.8333333333333334
texans,14,13.833333333333334,5.833333333333333,1.0833333333333333,0.5,297.1666666666667,4.25,97.91666666666667,2.6666666666666665,11.25,0.9166666666666666
colts,14,13.555555555555555,5.222222222222222,2.111111111111111,1.1111111111111112,235.77777777777777,4.0,118.11111111111111,1.8888888888888888,11.444444444444445,1.6666666666666667
jaguars,14,13.0,4.545454545454546,2.3636363636363638,1.0909090909090908,252.36363636363637,4.363636363636363,106.18181818181819,2.1818181818181817,11.454545454545455,1.6363636363636365
patriots,14,13.333333333333334,4.416666666666667,1.6666666666666667,0.6666666666666666,201.58333333333334,5.25,103.66666666666667,2.5,11.333333333333334,1.6666666666666667
jets,14,13.2,3.0,1.9,1.3,200.8,5.6,85.9,4.4,11.5,2.0
bengals,14,12.636363636363637,4.363636363636363,1.0,0.45454545454545453,236.72727272727272,4.909090909090909,75.81818181818181,2.8181818181818183,10.909090909090908,0.8181818181818182
browns,14,15.166666666666666,4.916666666666667,1.6666666666666667,0.75,206.0,5.0,135.08333333333334,2.9166666666666665,12.666666666666666,2.0
dolphins,14,11.333333333333334,4.916666666666667,1.4166666666666667,0.5833333333333334,276.75,2.8333333333333335,132.25,1.5,11.25,1.6666666666666667
chargers,14,14.090909090909092,6.363636363636363,1.5454545454545454,0.7272727272727273,252.9090909090909,4.181818181818182,101.0,2.0,10.818181818181818,1.0909090909090908
bills,14,12.909090909090908,6.545454545454546,1.0909090909090908,0.6363636363636364,270.72727272727275,2.8181818181818183,124.63636363636364,0.9090909090909091,10.818181818181818,1.4545454545454546
vikings,14,13.25,5.333333333333333,1.75,1.1666666666666667,272.0,3.1666666666666665,92.08333333333333,2.25,10.5,2.0
broncos,14,12.333333333333334,4.416666666666667,1.0,0.5833333333333334,198.75,4.166666666666667,115.75,3.0,10.833333333333334,1.4166666666666667
eagles,14,14.0,7.0,1.7,1.2,249.2,3.0,122.3,2.7,10.5,1.4
packers,14,13.25,5.833333333333333,1.6666666666666667,0.9166666666666666,240.0,3.9166666666666665,104.91666666666667,2.0,10.583333333333334,1.0
cowboys,14,13.75,6.666666666666667,1.4166666666666667,0.6666666666666666,279.0,2.5833333333333335,117.0,2.25,10.416666666666666,0.8333333333333334
lions,14,14.0,5.909090909090909,2.1818181818181817,1.0909090909090908,269.54545454545456,3.272727272727273,140.54545454545453,1.8181818181818181,11.181818181818182,1.2727272727272727
bears,14,13.666666666666666,5.916666666666667,1.5833333333333333,0.8333333333333334,203.83333333333334,3.5,137.66666666666666,2.9166666666666665,10.666666666666666,1.75
